top - 16:53:30 up 26 min,  1 user,  load average: 22,32, 12,47, 5,66
Tareas: 387 total,   3 ejecutar,  384 hibernar,    0 detener,    0 zombie
%Cpu(s): 62,7 usuario, 37,3 sist,  0,0 adecuado,  0,0 inact,  0,0 en espera,  0,0 hardw int,  0,0 softw int,  0,0 robar tiempo
MiB Mem :  31971,6 total,  20311,7 libre,   6414,9 usado,   5244,9 búfer/caché
MiB Intercambio:   2048,0 total,   2048,0 libre,      0,0 usado.  24984,1 dispon Mem 

    PID USUARIO   PR  NI    VIRT    RES    SHR S  %CPU  %MEM     HORA+ ORDEN
  10664 diego     20   0 1354752 208560  24620 R 673,3   0,6  22:42.59 python3
     81 root      rt   0       0      0      0 S   0,0   0,0   0:00.29 migration/11
     82 root      20   0       0      0      0 S   0,0   0,0   0:00.05 ksoftirqd/11
     84 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/11:0H-kblockd
     85 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kdevtmpfs
     86 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 inet_frag_wq
     87 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kauditd
     89 root      20   0       0      0      0 S   0,0   0,0   0:00.00 khungtaskd
     90 root      20   0       0      0      0 S   0,0   0,0   0:00.00 oom_reaper
     91 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 writeback
     92 root      20   0       0      0      0 S   0,0   0,0   0:00.04 kcompactd0
     93 root      25   5       0      0      0 S   0,0   0,0   0:00.00 ksmd
     94 root      39  19       0      0      0 S   0,0   0,0   0:00.01 khugepaged
    106 root      20   0       0      0      0 I   0,0   0,0   0:00.16 kworker/1:1-events
    110 root      20   0       0      0      0 I   0,0   0,0   0:00.17 kworker/2:1-rcu_gp
    114 root      20   0       0      0      0 I   0,0   0,0   0:00.01 kworker/3:1-rcu_par_gp
    144 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kintegrityd
    145 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kblockd
    146 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 blkcg_punt_bio
    147 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 tpm_dev_wq
    148 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 ata_sff
    149 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 md
    150 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 edac-poller
    151 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 devfreq_wq
    152 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 watchdogd
    154 root       0 -20       0      0      0 I   0,0   0,0   0:00.02 kworker/0:1H-kblockd
    155 root      20   0       0      0      0 I   0,0   0,0   0:00.64 kworker/6:1-events
    156 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/25-AMD-Vi
    158 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kswapd0
    159 root      20   0       0      0      0 S   0,0   0,0   0:00.00 ecryptfs-kthrea
    161 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kthrotld
    162 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/26-aerdrv
    163 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/27-aerdrv
    164 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/29-aerdrv
    165 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/30-aerdrv
    167 root      20   0       0      0      0 I   0,0   0,0   0:00.19 kworker/7:1-rcu_gp
    170 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker/10:1-cgroup_destroy
    171 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker/11:1-rcu_par_gp
    172 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 acpi_thermal_pm
    174 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 vfio-irqfd-clea
